Compound_ID,SMILES,IC50_nM,pActivity,Measurements,Sources,Scaffold
BCRABL_002079,CS(=O)(=O)n1ccc(C(=O)NCC(=O)Nc2nc(-c3cccc(OC4CC4)n3)cs2)c1,89.0,7.050609993355087,1,BindingDB,O=C(CNC(=O)c1cc[nH]c1)Nc1nc(-c2cccc(OC3CC3)n2)cs1
BCRABL_002080,COc1cc(Nc2c(C#N)cnc3cc(OC4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,89.0,7.050609993355087,1,BindingDB,c1ccc(Nc2ccnc3cc(OC4CCNCC4)ccc23)cc1
BCRABL_002081,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(F)(F)F)cc1,89.0,7.050609993355087,1,BindingDB,c1ccc(COc2ccccc2)cc1
BCRABL_002082,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4ccccc4OC(F)(F)F)n2CCO3)ccn1,89.0,7.050609993355087,1,BindingDB,c1ccc(Oc2nnc3n2CCOc2ccc(-c4ccncc4)cc2-3)cc1
BCRABL_002083,OC[C@H]1O[C@@H](c2ccc3c(c2)Cc2ccc(cc2)OC/C=C/CCC3)[C@H](O)[C@@H](O)[C@@H]1O,89.6,7.047691990337874,1,BindingDB,C1=CCOc2ccc(cc2)Cc2cc(C3CCCCO3)ccc2CCC1
BCRABL_002084,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@@H]4O)ccc2Cl)cc1,89.9,7.046240308266771,1,BindingDB,c1ccc(Cc2cccc(C34CCCC(CO3)O4)c2)cc1
BCRABL_002085,CCCc1cc(C(=O)c2ccccc2)ccc1OCCCOc1cccc(-c2sc(=O)[nH]c2O)c1,89.95,7.04599883231843,1,BindingDB,O=C(c1ccccc1)c1ccc(OCCCOc2cccc(-c3c[nH]c(=O)s3)c2)cc1
BCRABL_002086,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C(F)(F)F)cc3Cl)cc2O1,89.95,7.04599883231843,1,BindingDB,c1ccc(OCCCOc2ccc3c(c2)OCCC3)cc1
BCRABL_002087,FC(F)(F)Oc1ccc(Nc2cc(-c3cn[nH]c3)ncn2)cc1,90.0,7.045757490560675,1,BindingDB,c1ccc(Nc2cc(-c3cn[nH]c3)ncn2)cc1
BCRABL_002088,Cc1oc(-c2ccccc2)nc1CCOc1cccc(Cc2cn(-c3ccccc3)cc2C(=O)O)c1,90.0,7.045757490560675,1,BindingDB,c1ccc(-c2nc(CCOc3cccc(Cc4ccn(-c5ccccc5)c4)c3)co2)cc1
BCRABL_002089,Cc1oc(-c2ccccc2)nc1CCOc1cccc(CN(CC(=O)O)Cc2ccccc2)c1,90.0,7.045757490560675,1,BindingDB,c1ccc(CNCc2cccc(OCCc3coc(-c4ccccc4)n3)c2)cc1
BCRABL_002090,COc1cccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002091,Nc1ncnc2c1c(-c1ccccc1)cn2C1CCC1,90.0,7.045757490560675,1,BindingDB,c1ccc(-c2cn(C3CCC3)c3ncncc23)cc1
BCRABL_002092,Cc1cccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
